1.1.1,Respondent information
4.1.2,"Please outline any enhancements to your market infrastructures' (e.g. CCP, CSD) operational reporting capabilities planned for the next 12 months."
4.2.1,"Do you have a data security policy? If yes, please attach or provide details."
4.2.2,Does your organisation have spyware protection installed on all servers and workstations?
4.2.3,Please outline your anti spyware checking procedures and confirm that your anti spyware software is updated whenever a new version is released.
4.2.4,Please outline your policy on the deployment of antivirus products and the applications that this covers
4.2.5,Please outline your antivirus checking procedures and confirm that your antivirus software is updated whenever a new version is released.
4.2.6,"In the last 12 months have there been any external security breaches of your system? If yes, please outline and advise what you have done to minimise the likely recurrence of such a breach."
4.2.7,In the last 12 months has your company been mentioned in the media regarding an information security event?
4.2.8,How is internet access policed to prevent misuse by your staff?
4.2.9,Outline how your systems are protected from unauthorised use?
4.2.10,"Do you have procedures in place which allow access to programs and data to individual employees with different levels of authorised access? If yes, please outline."
4.2.11,Please outline your process for incorporating system changes and releases into the live environment?
4.2.12,In what circumstances do you prenotify clients of changes to your systems?
4.3.1,"In the last 12 months have there been any major developments or enhancements to your systems that support your securities services and/or client money business? If yes, please detail."
4.3.2,Briefly outline any major systems developments or enhancements to your securities services and/or client money businesses that are planned for the next three years. Indicate the planned timescales.
4.3.3,Please describe your change control policy/process relating to major IT implementations.
4.3.4,"Are there any plans to outsource your systems during the next 12 months? If yes, please describe such plans."
4.4.1,"In the last 12 months have you had system outages or slowdowns that have impacted your ability to service your clients? If yes, please detail how many events there have been."
4.4.2,In the last 12 months what has been your average core securities services processing system uptime ?
4.4.3,What percentage of your system capacity do you use on a daily basis?
4.4.4,In the last 12 months have there been any changes to your end-to-end system infrastructure?
4.5.1,What time period do you allow between the availability of vendor high priority security patches (to operating systems/network devices/applications) and their implementation to production environments?
4.5.2,Are security requirements included in the software development lifecycle documentation?
4.5.3,"Is client data ever used in the test, development, or QA environments?"
4.6.1,"Is operational resilience part of your Board or Executive Management agenda, discussion and decision-making process?"
4.6.3,Does your criticality assessment/ resilience planning include critical technology services?
4.6.4,How frequently does executive management review your operational resilience plan?
4.6.5,Is the resilience planning of your organisation (including mapping of critical products and services) a regulatory requirement?
4.6.6,How are organisational service deficiencies identified?
4.6.7,"In the last 12 months have all identified resilience related deficiencies been remediated, evaluated, and addressed?"
4.6.8,Please confirm you have a framework in respect of succession planning?
5.1.1,"In the last 12 months have there been any material changes to your settlement processes? If yes, please describe."
5.1.2,Please confirm which of the following controls are in place to ensure that an individual client’s securities are used only to settle that client’s trades (e.g. not used to settle trades belonging to either yourself or your other clients).
5.1.3,"In the last 12 months have there been any changes that have led to a reduction or increase in manual processing for the items below? If yes, please outline."
5.1.4,"In the last 12 months have there been any material changes to market processes, fails processing or penalties? If yes, please describe."
5.1.5,Please describe how any of the changes above affect the levels of manual intervention in these processes.
5.1.6,"Is settlement in your market true DVP (i.e. simultaneous, final and irrevocable)? If no, please advise how you reduce settlement risk."
5.2.1,"In the last 12 months have there been any changes or enhancements that have been made to your income information sources or market information sources ? If yes, please advise."
5.2.2,"In the last 12 months have there been any changes or enhancements made to your organisation’s corporate actions sources or market information sources? If yes, please advise."
5.2.3,"In the last 12 months have there been any changes or enhancements to your proxy voting service? If yes, please advise."
5.2.4,Have any of the changes to your proxy voting service affected the levels of manual intervention in these processes?
5.3.1,"In the last 12 months have there been any changes or enhancements to your  taxation reclaim, relief at source or tax voucher process. If yes, please comment."
5.3.2,Have any of the changes above affected the levels of manual intervention in these processes?
5.3.3,Does your jurisdiction have an IGA (Intergovernmental Agreement) in place to implement FATCA?
5.3.4,"If your jurisdiction does not have an IGA, have you agreed to the terms of a FATCA FFI (Foreign Financial Institution) agreement and registered with the IRS?"
5.3.5,"Is your organisation compliant with the terms of the IGA? If no, please state your plans to become compliant."
5.3.6,"Is your organisation FATCA compliant? If no, please state your plans to become compliant."
5.3.7,Has your organisation registered with the IRS and received a Global Intermediary Identification Number (GIIN)?
5.3.8,Is your organisation treated as a Foreign Financial Institution (FFI) or a Limited FFI under the IRS definition?
5.3.9,Does your organisation inform the IRS of any US client's account details?
5.3.10,Is the reporting to the IRS performed automatically or manually?
5.4.1,"In the last 12 months have there been any changes to your treasury, FX and cash management products and services? If yes, please provide details."
5.4.2,"In the last 12 months have there been any changes to any national guarantee and/or compensation scheme in place? If yes, please provide details."
5.4.3,"In the last 12 months have there been any changes regarding FX policies or currency restrictions? If yes, please provide details."
5.4.4,"In the last 12 months, have there been any changes to the penalties applied by your organization for ‘excess’ liquidity balances? If yes, please provide details"
5.4.5,"In the last 12 months have there been any changes to the types of cash accounts available in your market? If yes, please detail."
5.4.6,"In the last 12 months have there been any changes to the structure, options or naming conventions used for cash accounts in your records. If yes, please detail."
5.4.7,Please confirm that the account holder is the legal owner of cash balances held with your organisation?
5.5.1,"In the last 12 months, have any changes or enhancements been made to your securities lending and borrowing product?"
5.5.2,In the next 12 months are there any changes or enhancements that are anticipated to be made to your securities lending and borrowing product?
5.5.3,In the last 12 months have there been any changes to legislation and/or regulation in relation to securities lending and borrowing?
5.6.1,"In the last 12 months have there been any changes to the client service model and/or management structure? If yes, please comment."
5.6.2,"In the next 12 months, do you plan to make changes to the client service model and/or management structure?  If yes, please comment."
6.1.1,Do you have a team dedicated to managing your network of sub-custodians?
6.1.2,"Please provide an organisation chart showing (or explain) where the network management function resides, including reporting lines within your overall organisational structure and the regulatory obligations of the team."
6.1.3,Please attach a network management organisational chart indicating the number and location of staff.
6.1.4,"Please outline the responsibilities of the network management team members, including how the team is organised and structured."
6.1.5,"Are network managers located in the same region as the relationships for which they are responsible? If no, please explain the rationale."
6.1.6,"Are any of the functions of your network management team outsourced? If yes, please describe what these functions are and how you monitor the quality of the outsourced services."
6.1.7,Please describe the governance of your network management function including details of the parties that review the process.
6.1.8,"In the last 12 months have there been any changes in the responsibilities of the network management function? If yes, please explain."
6.1.9,"What other parties (e.g. internal and external audit, regulators) have oversight of your network management function."
6.2.1,Please confirm
6.2.2,How do you assess the expertise and market reputation of a sub-custodian?
6.2.3,How do you assess the credit worthiness of a sub-custodian?
6.2.4,"Where you use affiliates do you follow identical processes and procedures? If no, please explain any differences."
6.2.5,"Do you undertake on-site visits as part of the selection process? If yes, please describe the nature and scope of this visit. If no, please explain."
6.2.6,Please describe how you assess sub-custodian risk.
6.2.7,Please describe how you assess associated market risk?
6.3.1,"Please describe in detail your selection and decision processes, including the parties involved, or attach relevant documentation regarding the decision to become a direct participant of a local CSD."
6.3.2,"Please advise if you apply different market risk assessment criteria when deciding to become a direct participant as opposed to appointing a sub-custodian. If yes, please provide details below."
6.3.3,How do you assess the risk of the CSD and the associated market risk?
6.3.4,"Where you are considering becoming a direct participant of a CSD, will you appoint/retain a sub-custodian for asset servicing, or will you fully in-source the asset servicing function?"
6.3.5,How do you assess the credit worthiness of the CSD?
6.3.6,"Please confirm that you perform an on-site due diligence review. If no, please explain."
6.3.7,"Please state the scope of the due diligence, detailing the core risks that your network management function focus upon."
6.3.8,How much notice of a membership termination do you give to your clients?
6.3.9,"Do you maintain contingency arrangements with a sub-custodian should your direct participation be terminated? If no, please explain."
6.4.1,Please describe your periodic due diligence process or attach a relevant document regarding your due diligence process.
6.4.2,"Are your affiliates that provide services subject to same due diligence process? If no, how does it differ?"
6.4.3,How frequently do you conduct due diligence reviews?
6.4.4,What circumstances would trigger a due diligence review out of cycle?
6.4.5,Which business units are involved in your due diligence process?
6.4.6,Do you use the AFME sub-custodian DDQ as part of your due diligence process?
6.4.6.1,"Were there any areas of material concerns noted as part of your review process? If yes, please provide details."
6.4.7,"Please provide a list of your sub custodians showing their entity name, legal and operational addresses."
6.4.8,In the last 12 months have there been any changes to your custody network?
6.4.9,Please confirm the date of your last due diligence review for each sub-custodian and advise if this was performed on-site or remotely.
6.4.10,Please describe how you monitor the risk of your sub-custodian and the related market risk.
6.4.11,How do you keep clients informed of market developments?
6.4.12,How do you assess the markets’ regulatory and legal framework?
6.4.13,"Do you have an SLA or comparable agreement with your sub-custodians? If not, how do you ensure that your service expectations are met."
6.4.14,"In the last 12 months have there been any changes to the liens or security interests that any of your sub-custodians or CSDs has over your assets? If yes, please provide details."
6.4.15,"In the last 12 months have there been any changes that have increased risk within the custody chain? If yes, please describe."
6.4.16,"In the last 12 months have there been any changes to the naming convention for accounts at your sub-custodians or at the CSDs? If yes, please provide details."
6.4.17,Do you maintain contingency sub-custodian relationships?
6.4.17.1,"If you do not maintain contingency sub-custodian relationships, do you have another form of contingency planning in place, in particular covering a default of a sub-custodian belonging to your network? Please describe your measures"
6.4.18,What is required to move from a contingency state to an operational state and what is the timescale?
6.5.1,"Please confirm that you have a custodial contract in place with every sub-custodian. If no, please explain."
6.5.2,"Please confirm that your sub-custodians are subject to regulation and supervision with respect to the safekeeping of financial instruments. If no, please explain."
6.5.3,Please confirm if you require the agreements that you have with your sub-custodians to include the provisions listed in Rule 17f-5(c)(2)(i).
6.6.1,"Do you or any related organisational unit or affiliate provide the following services; asset management services, collateral management services, prime brokerage services and/or risk management services or similar services?"
6.6.2,Please confirm how you identify and prevent potential conflict of interest between the abovementioned services and your securities services?
7.1.1,"Please confirm that, based on the laws in the jurisdiction where your organisation is incorporated, the level of account segregation implemented by yourselves and applicable to the client money held with you would ensure that, upon our insolvency, such cash will be deemed to belong to our underlying clients and will be protected from you, our creditors or any other third parties."
7.1.2,Please confirm that client money held by you is segregated and properly identified in your books and records by means of differently titled accounts or equivalent measures as follows:
7.1.3,"In the last 12 months have there been any changes in your ability to make newly opened client money accounts ""inactive"" until a client acknowledgement letter has been executed?  If yes, please provide details"
7.1.4,"Does your jurisdiction support a deposit protection scheme in the event of your bank’s insolvency? If no, please describe what additional arrangements you have implemented to minimise the risk of loss and ensure that such cash held for your clients is protected in the event of your insolvency."
7.2.1,"Do you undertake other business activities which could compromise your ability to provide services as a client money bank?  If yes, please provide details."
7.3.1,Are there controls in place to prohibit debit balances on client money accounts?
7.3.3,"Please confirm that payment instructions formatted to allow straight through processing and received by the cut-off time will be applied to the account on the same day. If no, please provide details of the process to remediate."
7.3.4,"Are there any circumstances in which the account title could change without our request? If yes, please explain."
7.3.5,Please confirm that there are controls in place to prevent charges and interest being applied to client money accounts?
7.4.1,Please confirm that the balances remain in the currency that they are credited (i.e.  there is no conversion).
7.4.2,Please confirm that any monies held by us for our clients will not be set-off against other monies held by you for us on our insolvency.
7.4.3,Please confirm that on your insolvency our claim to the deposit held with you will rank pari passu with all other unsecured claims.
7.4.4,"In the last 12 months have there been any changes to the status of statutorily preferred creditors or other creditors granted seniority of claims against your assets by operation of law? If yes, please provide details."
7.4.5,"For 15c3-3 accounts only: If the entity holding the account is a US branch of a foreign bank, please confirm that the branch is eligible to hold 15c3-3 deposits of broker dealers."
7.4.6,"In the last 12 months have there been any changes that affect either legal requirements, local regulations or market practices related to the holding of client monies? If yes, please provide details."
7.5.1,"Do you use a correspondent bank for any currencies? If yes, please provide a list of all correspondent banks that your organisation uses as an attachment or link to your website."
7.5.2,Do you have a team dedicated to managing your network of correspondent banks?
7.5.3,Do you maintain contingency correspondent bank relationships where you do not self-clear?
7.5.4,Can you realign to the contingency correspondent banks within 48 hours?
7.5.5,"Please confirm that, within 48 hours above, you would make us aware of any standing settlement instructions (SSI) changes required by our organisation."
